Fecha,S,N
2020-02-27,1,22
2020-02-28,3,37
2020-02-29,8,46
2020-03-01,11,60
2020-03-02,21,69
2020-03-03,39,75
2020-03-04,26,112
2020-03-05,35,143
2020-03-06,36,163
2020-03-07,30,186
2020-03-08,24,201
2020-03-09,12,218
2020-03-10,37,234
2020-03-11,49,264
2020-03-12,82,298
2020-03-13,105,344
2020-03-14,155,404
2020-03-15,176,482
2020-03-16,171,579
2020-03-17,206,672
2020-03-18,314,787
2020-03-19,448,921
2020-03-20,606,1111
2020-03-21,697,1463
2020-03-22,793,1667
2020-03-23,825,1865
2020-03-24,1219,2161
2020-03-25,1656,2445
2020-03-26,2156,2965
2020-03-27,2475,3542
2020-03-28,2623,4341
2020-03-29,2564,4955
2020-03-30,2752,5635
2020-03-31,3511,6282
2020-04-01,3827,7073
2020-04-02,4653,7822
2020-04-03,5398,8602
2020-04-04,5827,9467
2020-04-05,5209,10682
2020-04-06,6295,11741
2020-04-07,7526,15099
2020-04-08,9188,17209
2020-04-09,10105,17950